CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
174    0      0   46 46:46:46:5        yes 2000.0000 1500.0000 3094.265
175    0      0   47 47:47:47:5        yes 2000.0000 1500.0000 2000.000
176    0      0   48 48:48:48:6        yes 2000.0000 1500.0000 2392.430
177    0      0   49 49:49:49:6        yes 2000.0000 1500.0000 2393.562
178    0      0   50 50:50:50:6        yes 2000.0000 1500.0000 2000.000
179    0      0   51 51:51:51:6        yes 2000.0000 1500.0000 2391.774
180    0      0   52 52:52:52:6        yes 2000.0000 1500.0000 2000.000
181    0      0   53 53:53:53:6        yes 2000.0000 1500.0000 2000.000
182    0      0   54 54:54:54:6        yes 2000.0000 1500.0000 2394.661
183    0      0   55 55:55:55:6        yes 2000.0000 1500.0000 2392.822
184    0      0   56 56:56:56:7        yes 2000.0000 1500.0000 2000.000
185    0      0   57 57:57:57:7        yes 2000.0000 1500.0000 2393.828
186    0      0   58 58:58:58:7        yes 2000.0000 1500.0000 2000.000
187    0      0   59 59:59:59:7        yes 2000.0000 1500.0000 2392.734
188    0      0   60 60:60:60:7        yes 2000.0000 1500.0000 2000.000
189    0      0   61 61:61:61:7        yes 2000.0000 1500.0000 2000.000
190    0      0   62 62:62:62:7        yes 2000.0000 1500.0000 2000.000
191    0      0   63 63:63:63:7        yes 2000.0000 1500.0000 2395.541
192    1      1   64 64:64:64:8        yes 2000.0000 1500.0000 2433.553
193    1      1   65 65:65:65:8        yes 2000.0000 1500.0000 2428.578
194    1      1   66 66:66:66:8        yes 2000.0000 1500.0000 2450.654
195    1      1   67 67:67:67:8        yes 2000.0000 1500.0000 2000.000
196    1      1   68 68:68:68:8        yes 2000.0000 1500.0000 2431.434
197    1      1   69 69:69:69:8        yes 2000.0000 1500.0000 2000.000
198    1      1   70 70:70:70:8        yes 2000.0000 1500.0000 2438.426
199    1      1   71 71:71:71:8        yes 2000.0000 1500.0000 2000.000
200    1      1   72 72:72:72:9        yes 2000.0000 1500.0000 3094.264
201    1      1   73 73:73:73:9        yes 2000.0000 1500.0000 2416.471
202    1      1   74 74:74:74:9        yes 2000.0000 1500.0000 2427.399
203    1      1   75 75:75:75:9        yes 2000.0000 1500.0000 2410.778
204    1      1   76 76:76:76:9        yes 2000.0000 1500.0000 2000.000
205    1      1   77 77:77:77:9        yes 2000.0000 1500.0000 2556.431
206    1      1   78 78:78:78:9        yes 2000.0000 1500.0000 2418.902
207    1      1   79 79:79:79:9        yes 2000.0000 1500.0000 2411.549
208    1      1   80 80:80:80:10       yes 2000.0000 1500.0000 2000.000
209    1      1   81 81:81:81:10       yes 2000.0000 1500.0000 2394.992
210    1      1   82 82:82:82:10       yes 2000.0000 1500.0000 2000.000
211    1      1   83 83:83:83:10       yes 2000.0000 1500.0000 2000.000
212    1      1   84 84:84:84:10       yes 2000.0000 1500.0000 2000.000
213    1      1   85 85:85:85:10       yes 2000.0000 1500.0000 2394.953
214    1      1   86 86:86:86:10       yes 2000.0000 1500.0000 2000.000
215    1      1   87 87:87:87:10       yes 2000.0000 1500.0000 2000.000
216    1      1   88 88:88:88:11       yes 2000.0000 1500.0000 2395.004
217    1      1   89 89:89:89:11       yes 2000.0000 1500.0000 2000.000
218    1      1   90 90:90:90:11       yes 2000.0000 1500.0000 2000.000
219    1      1   91 91:91:91:11       yes 2000.0000 1500.0000 2000.000
220    1      1   92 92:92:92:11       yes 2000.0000 1500.0000 2000.000
221    1      1   93 93:93:93:11       yes 2000.0000 1500.0000 2000.000
222    1      1   94 94:94:94:11       yes 2000.0000 1500.0000 2000.000
223    1      1   95 95:95:95:11       yes 2000.0000 1500.0000 2000.000
224    1      1   96 96:96:96:12       yes 2000.0000 1500.0000 2000.000
225    1      1   97 97:97:97:12       yes 2000.0000 1500.0000 2000.000
226    1      1   98 98:98:98:12       yes 2000.0000 1500.0000 2000.000
227    1      1   99 99:99:99:12       yes 2000.0000 1500.0000 2000.000
228    1      1  100 100:100:100:12    yes 2000.0000 1500.0000 2000.000
229    1      1  101 101:101:101:12    yes 2000.0000 1500.0000 2000.000
230    1      1  102 102:102:102:12    yes 2000.0000 1500.0000 2000.000
231    1      1  103 103:103:103:12    yes 2000.0000 1500.0000 2000.000
232    1      1  104 104:104:104:13    yes 2000.0000 1500.0000 2000.000
233    1      1  105 105:105:105:13    yes 2000.0000 1500.0000 2000.000
234    1      1  106 106:106:106:13    yes 2000.0000 1500.0000 2000.000
235    1      1  107 107:107:107:13    yes 2000.0000 1500.0000 2000.000
236    1      1  108 108:108:108:13    yes 2000.0000 1500.0000 2000.000
237    1      1  109 109:109:109:13    yes 2000.0000 1500.0000 2000.000
238    1      1  110 110:110:110:13    yes 2000.0000 1500.0000 2000.000
239    1      1  111 111:111:111:13    yes 2000.0000 1500.0000 2000.000
240    1      1  112 112:112:112:14    yes 2000.0000 1500.0000 2000.000
241    1      1  113 113:113:113:14    yes 2000.0000 1500.0000 2000.000
242    1      1  114 114:114:114:14    yes 2000.0000 1500.0000 2000.000
243    1      1  115 115:115:115:14    yes 2000.0000 1500.0000 2000.000
244    1      1  116 116:116:116:14    yes 2000.0000 1500.0000 2000.000
245    1      1  117 117:117:117:14    yes 2000.0000 1500.0000 2000.000
246    1      1  118 118:118:118:14    yes 2000.0000 1500.0000 2000.000
247    1      1  119 119:119:119:14    yes 2000.0000 1500.0000 2395.560
248    1      1  120 120:120:120:15    yes 2000.0000 1500.0000 2000.000
249    1      1  121 121:121:121:15    yes 2000.0000 1500.0000 2000.000
250    1      1  122 122:122:122:15    yes 2000.0000 1500.0000 2000.000
251    1      1  123 123:123:123:15    yes 2000.0000 1500.0000 2000.000
252    1      1  124 124:124:124:15    yes 2000.0000 1500.0000 2000.000
253    1      1  125 125:125:125:15    yes 2000.0000 1500.0000 2000.000
254    1      1  126 126:126:126:15    yes 2000.0000 1500.0000 2000.000
255    1      1  127 127:127:127:15    yes 2000.0000 1500.0000 2000.000
