CPU NODE SOCKET CORE L1d:L1i:L2:L3  ONLINE    MAXMHZ    MINMHZ      MHZ
241   14      1  113 73:73:73:9        yes 3762.9880 1500.0000 2300.000
242   14      1  114 74:74:74:9        yes 3762.9880 1500.0000 2300.000
243   14      1  115 75:75:75:9        yes 3762.9880 1500.0000 2300.000
244   14      1  116 76:76:76:9        yes 3762.9880 1500.0000 2300.000
245   14      1  117 77:77:77:9        yes 3762.9880 1500.0000 2300.000
246   14      1  118 78:78:78:9        yes 3762.9880 1500.0000 2300.000
247   14      1  119 79:79:79:9        yes 3762.9880 1500.0000 2300.000
248   15      1  120 104:104:104:13    yes 3762.9880 1500.0000 2300.000
249   15      1  121 105:105:105:13    yes 3762.9880 1500.0000 2300.000
250   15      1  122 106:106:106:13    yes 3762.9880 1500.0000 2296.404
251   15      1  123 107:107:107:13    yes 3762.9880 1500.0000 2300.000
252   15      1  124 108:108:108:13    yes 3762.9880 1500.0000 2300.000
253   15      1  125 109:109:109:13    yes 3762.9880 1500.0000 2300.000
254   15      1  126 110:110:110:13    yes 3762.9880 1500.0000 2300.000
255   15      1  127 111:111:111:13    yes 3762.9880 1500.0000 2300.000
